loan_id,issue_month,fico,annual_inc,dti,revol_util,emp_length_yrs,loan_amnt,term,int_rate,home_ownership,purpose,default_60d
L100000,20,707,38181.86,23.27,80.2%,< 1 year,35900, 36 months,12.29%,MORTGAGE,major_purchase,0
L100001,3,633,"$31,917.63",23.23,32.7%,6 years,13900, 36 months,15.09%,Mortgage,other,0
L100002,19,731,70707.59,21.44,44.2%,8 years,11300, 60 months,9.64%,Rent,debt_consolidation,0
L100003,18,742,"64,645",31.53,43.4%,< 1 year,5900, 36 months,9.1%,Mortgage,debt_consolidation,0
L100004,13,583,N/A,14.9,18.6%,9 years,13000, 60 months,21.66%,mortgage,debt_consolidation,1
L100005,15,618,"$31,226.82",15.0,32.5%,,12800, 60 months,20.21%,Own,debt_consolidation,0
L100006,22,697,68022.52,12.73,24.5%,,13000, 36 months,14.55%,Mortgage,credit_card,0
L100007,7,673,"$57,750.84",37.52,25.8%,7 years,18000, 36 months,13.78%,Mortgage,home_improvement,1
L100008,2,689,"$48,997.97",,49.1%,< 1 year,7800, 36 months,11.2%,Mortgage,medical,0
L100009,13,643,81051.42,,71.9%,7 years,5000, 36 months,16.95%,MORTGAGE,other,0
L100010,17,738,29099.71,8.36,99.0%,9 years,10400, 60 months,10.25%,MORTGAGE,debt_consolidation,0
L100011,12,733,44467.07,16.41,65.9%,10+ years,6100, 60 months,11.0%,MORTGAGE,debt_consolidation,0
L100012,3,694,77576.4,18.57,94.1%,8 years,22600, 60 months,15.92%,OWN,home_improvement,0
L100013,7,752,43275.96,20.04,22.3%,2 years,15600, 36 months,8.87%,Own,debt_consolidation,0
L100014,12,716,"$70,001.60",,,< 1 year,9500, 36 months,11.07%,mortgage,home_improvement,0
L100015,6,643,"$33,755.04",12.08,44.1%,8 years,25200, 36 months,16.08%,OWN,credit_card,1
L100016,4,710,"39,659",27.72,107.6%,4 years,9600, 36 months,11.38%,Mortgage,debt_consolidation,0
L100017,6,637,"$24,560.66",22.9,27.8%,< 1 year,19200, 60 months,19.17%,RENT,home_improvement,0
L100018,16,738,"$21,406.22",12.41,78.8%,3 years,34800, 36 months,11.71%,RENT,home_improvement,0
L100019,9,687,"$47,194.21",25.74,22.0%,< 1 year,14800, 60 months,14.1%,Mortgage,debt_consolidation,0
L100020,19,9999,"$74,982.65",25.82,23.7%,,23900, 36 months,13.62%,Rent,small_business,0
L100021,16,653,"$56,534.18",35.79,,2 years,8600, 36 months,15.4%,MORTGAGE,small_business,1
L100022,2,757,"$106,952.75",16.27,30.6%,5 years,15300, 36 months,6.82%,MORTGAGE,debt_consolidation,0
L100023,7,682,,12.61,58.2%,6 years,17300, 36 months,14.36%,RENT,debt_consolidation,1
L100024,2,666,"$20,742.30",16.81,22.7%,7 years,16200, 60 months,18.62%,rent,other,1
L100025,16,671,"$71,118.10",25.41,52.9%,10+ years,6500, 60 months,15.19%,mortgage,major_purchase,0
L100026,1,719,"$34,917.24",7.97,102.8%,,9100, 36 months,13.09%,Own,debt_consolidation,0
L100027,19,710,63763.76,18.03,,4 years,6400, 36 months,8.94%,rent,credit_card,0
L100028,7,713,"$19,096.47",18.31,38.7%,3 years,18400, 60 months,9.9%,Mortgage,small_business,0
L100029,14,714,"$52,181.09",28.63,42.1%,3 years,8700, 36 months,12.91%,Mortgage,debt_consolidation,0
L100030,3,808,"$85,079.89",13.7,49.0%,10+ years,12400, 36 months,5.0%,rent,debt_consolidation,0
L100031,13,668,"$80,036.65",16.83,53.2%,6 years,5100, 36 months,13.66%,rent,other,1
L100032,16,662,"$52,819.15",22.18,62.1%,7 years,10300, 60 months,13.94%,rent,credit_card,0
L100033,21,645,N/A,13.08,71.9%,6 years,26300, 36 months,15.99%,mortgage,debt_consolidation,0
L100034,16,724,46695.68,11.63,36.3%,< 1 year,11000, 60 months,10.02%,Mortgage,debt_consolidation,0
L100035,15,752,"$51,578.00",32.98,67.0%,10+ years,1200, 36 months,9.59%,mortgage,credit_card,0
